FID,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,geom
focos_ams_ontem_hoje_ref.0d1b818b-e328-349d-bccd-b17df7250faf,-79.46288,0.32699,2022-05-19T18:45:00,AQUA_M-T,Quinindé,Esmeraldas,Ecuador,POINT (0.32699 -79.46288)
focos_ams_ontem_hoje_ref.daed05c1-85c6-3310-a6a9-4b68adb12492,-79.39746,0.00129,2022-05-19T18:45:00,AQUA_M-T,No Delimitado,Santo Domingo de los Tsáchilas,Ecuador,POINT (0.00129 -79.39746)
focos_ams_ontem_hoje_ref.cca617f9-d596-3f4d-92d5-395fc87425b8,-79.4736,0.32545,2022-05-19T18:45:00,AQUA_M-T,Quinindé,Esmeraldas,Ecuador,POINT (0.32545 -79.4736)
focos_ams_ontem_hoje_ref.c1821f88-04a9-3669-b701-7fda924025ed,-79.76167,-6.30398,2022-05-19T18:43:00,AQUA_M-T,Lambayeque,Lambayeque,Peru,POINT (-6.30398 -79.76167)
focos_ams_ontem_hoje_ref.3a5d70be-ba3d-31bf-8b9f-9893faf887e8,-79.77557,-6.30584,2022-05-19T18:43:00,AQUA_M-T,Lambayeque,Lambayeque,Peru,POINT (-6.30584 -79.77557)
focos_ams_ontem_hoje_ref.b40da253-9827-3852-a402-b8baf7ba4d02,-79.76875,-6.30238,2022-05-19T18:43:00,AQUA_M-T,Lambayeque,Lambayeque,Peru,POINT (-6.30238 -79.76875)
focos_ams_ontem_hoje_ref.c1725cf8-2866-3ce8-9d3b-2932b2e1e6a8,-79.46272,-1.43989,2022-05-19T18:43:00,AQUA_M-T,Ventanas,Los Rios,Ecuador,POINT (-1.43989 -79.46272)
focos_ams_ontem_hoje_ref.17f8fc96-4a68-3a07-a704-c60f43807624,-74.84013,-8.58213,2022-05-19T18:41:00,AQUA_M-T,Coronel Portillo,Ucayali,Peru,POINT (-8.58213 -74.84013)
focos_ams_ontem_hoje_ref.2c76fb10-d908-3bb1-a7fa-54ba4df05c4b,-75.88187,-12.39691,2022-05-19T18:41:00,AQUA_M-T,Yauyos,Lima,Peru,POINT (-12.39691 -75.88187)
focos_ams_ontem_hoje_ref.f2f89b64-d1c2-3fc5-a6ec-acc5f494dd9b,-74.84781,-8.59238,2022-05-19T18:41:00,AQUA_M-T,Coronel Portillo,Ucayali,Peru,POINT (-8.59238 -74.84781)
focos_ams_ontem_hoje_ref.9a78ff40-2e1e-3ef7-ac78-3ee2e0bf6b1f,-74.84913,-8.58343,2022-05-19T18:41:00,AQUA_M-T,Coronel Portillo,Ucayali,Peru,POINT (-8.58343 -74.84913)
focos_ams_ontem_hoje_ref.829bfbc1-ed03-35d0-9648-f4b36255f589,-79.48849,-7.23918,2022-05-19T18:41:00,AQUA_M-T,Pacasmayo,La Libertad,Peru,POINT (-7.23918 -79.48849)
focos_ams_ontem_hoje_ref.46377e5c-0da0-318f-8fac-a00630368dc9,-79.48397,-7.38837,2022-05-19T18:41:00,AQUA_M-T,Pacasmayo,La Libertad,Peru,POINT (-7.38837 -79.48397)
focos_ams_ontem_hoje_ref.ba5e1a51-6c2f-35b3-a1b0-91024e77126a,-62.45992,-21.88029,2022-05-19T18:38:00,AQUA_M-T,Doctor Pedro P. Peña,Boquerón,Paraguay,POINT (-21.88029 -62.45992)
focos_ams_ontem_hoje_ref.b0f32120-1717-39ab-ac17-b2756ae172c6,-63.87506,-15.71178,2022-05-19T18:38:00,AQUA_M-T,Marbán,El Beni,Bolivia,POINT (-15.71178 -63.87506)
focos_ams_ontem_hoje_ref.ba08a705-b55b-345b-ae37-1d43c083d9f0,-64.30724,-14.72773,2022-05-19T18:38:00,AQUA_M-T,Cercado,El Beni,Bolivia,POINT (-14.72773 -64.30724)
focos_ams_ontem_hoje_ref.f561140a-07d7-39c2-893d-2c3fcf575d39,-62.45669,-21.87439,2022-05-19T18:38:00,AQUA_M-T,Doctor Pedro P. Peña,Boquerón,Paraguay,POINT (-21.87439 -62.45669)
focos_ams_ontem_hoje_ref.36ff5012-d3aa-3857-9d2f-ce9e657539d4,-66.92825,-13.42668,2022-05-19T18:38:00,AQUA_M-T,José Ballivián,El Beni,Bolivia,POINT (-13.42668 -66.92825)
focos_ams_ontem_hoje_ref.c6107ade-168a-3d0e-ac71-399061a37c16,-64.3138,-14.73296,2022-05-19T18:38:00,AQUA_M-T,Cercado,El Beni,Bolivia,POINT (-14.73296 -64.3138)
focos_ams_ontem_hoje_ref.82322dff-0ca6-3230-a3d6-79a1a93fd5c4,-63.86891,-15.71917,2022-05-19T18:38:00,AQUA_M-T,Marbán,El Beni,Bolivia,POINT (-15.71917 -63.86891)
