FID,id,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,municipio_id,estado_id,pais_id,numero_dias_sem_chuva,precipitacao,risco_fogo,bioma,geom
focos_brasil_ontem_hoje_ref.10d157f3-5982-33cd-8915-06c8b673049d,10d157f3-5982-33cd-8915-06c8b673049d,-61.32489,-8.56683,2022-05-20T17:47:00,AQUA_M-T,NOVO ARIPUANÃ,AMAZONAS,Brasil,1303304,13,33,,,,Amazônia,POINT (-8.56683 -61.32489)
focos_brasil_ontem_hoje_ref.e02a5e45-bcf0-3a7f-a04c-70fc0f74a034,e02a5e45-bcf0-3a7f-a04c-70fc0f74a034,-61.82331,-8.50817,2022-05-20T17:47:00,AQUA_M-T,MANICORÉ,AMAZONAS,Brasil,1302702,13,33,,,,Amazônia,POINT (-8.50817 -61.82331)
focos_brasil_ontem_hoje_ref.0f41e6b8-4969-3601-b717-a9d566f28566,0f41e6b8-4969-3601-b717-a9d566f28566,-56.31986,-10.32421,2022-05-20T17:47:00,AQUA_M-T,ALTA FLORESTA,MATO GROSSO,Brasil,5100250,51,33,,,,Amazônia,POINT (-10.32421 -56.31986)
focos_brasil_ontem_hoje_ref.dc1ff3e4-e85d-32b2-a770-00bc40afc588,dc1ff3e4-e85d-32b2-a770-00bc40afc588,-54.60624,-10.08063,2022-05-20T17:47:00,AQUA_M-T,MATUPÁ,MATO GROSSO,Brasil,5105606,51,33,,,,Amazônia,POINT (-10.08063 -54.60624)
focos_brasil_ontem_hoje_ref.fe42e91e-aa5f-3341-819e-b15c7ef10b2a,fe42e91e-aa5f-3341-819e-b15c7ef10b2a,-61.81412,-8.50688,2022-05-20T17:47:00,AQUA_M-T,MANICORÉ,AMAZONAS,Brasil,1302702,13,33,,,,Amazônia,POINT (-8.50688 -61.81412)
focos_brasil_ontem_hoje_ref.0f466dbe-a0ef-3fc9-a999-6ac27d804306,0f466dbe-a0ef-3fc9-a999-6ac27d804306,-61.83004,-8.50082,2022-05-20T17:47:00,AQUA_M-T,MANICORÉ,AMAZONAS,Brasil,1302702,13,33,,,,Amazônia,POINT (-8.50082 -61.83004)
focos_brasil_ontem_hoje_ref.28e9609d-6c46-364a-8c89-e756ea0b6eaa,28e9609d-6c46-364a-8c89-e756ea0b6eaa,-52.58595,-10.13234,2022-05-20T17:47:00,AQUA_M-T,SANTA CRUZ DO XINGU,MATO GROSSO,Brasil,5107743,51,33,,,,Amazônia,POINT (-10.13234 -52.58595)
focos_brasil_ontem_hoje_ref.400167ef-99d6-383d-ad2b-ba82b4dcc0bd,400167ef-99d6-383d-ad2b-ba82b4dcc0bd,-63.39532,-9.18447,2022-05-20T17:47:00,AQUA_M-T,ITAPUÃ DO OESTE,RONDÔNIA,Brasil,1101104,11,33,,,,Amazônia,POINT (-9.18447 -63.39532)
focos_brasil_ontem_hoje_ref.fd9a0f2f-1730-3376-8176-6ef72c640e52,fd9a0f2f-1730-3376-8176-6ef72c640e52,-56.31826,-10.33504,2022-05-20T17:47:00,AQUA_M-T,ALTA FLORESTA,MATO GROSSO,Brasil,5100250,51,33,,,,Amazônia,POINT (-10.33504 -56.31826)
focos_brasil_ontem_hoje_ref.aee61bbc-f680-3fd9-b50c-c3af3c6ed642,aee61bbc-f680-3fd9-b50c-c3af3c6ed642,-65.71946,-9.21575,2022-05-20T17:47:00,AQUA_M-T,LÁBREA,AMAZONAS,Brasil,1302405,13,33,,,,Amazônia,POINT (-9.21575 -65.71946)
focos_brasil_ontem_hoje_ref.7bfee76e-2fc4-35e0-a15c-0dc51f897310,7bfee76e-2fc4-35e0-a15c-0dc51f897310,-61.82085,-8.49951,2022-05-20T17:47:00,AQUA_M-T,MANICORÉ,AMAZONAS,Brasil,1302702,13,33,,,,Amazônia,POINT (-8.49951 -61.82085)
focos_brasil_ontem_hoje_ref.b0a8a34f-70d9-3b1b-a3d7-6e5f7ce9b212,b0a8a34f-70d9-3b1b-a3d7-6e5f7ce9b212,-58.60971,-10.2963,2022-05-20T17:47:00,AQUA_M-T,JURUENA,MATO GROSSO,Brasil,5105176,51,33,,,,Amazônia,POINT (-10.2963 -58.60971)
focos_brasil_ontem_hoje_ref.1f082026-c268-373a-a6df-36af14eed816,1f082026-c268-373a-a6df-36af14eed816,-54.5901,-10.06518,2022-05-20T17:47:00,AQUA_M-T,MATUPÁ,MATO GROSSO,Brasil,5105606,51,33,,,,Amazônia,POINT (-10.06518 -54.5901)
focos_brasil_ontem_hoje_ref.b194dda6-a0c3-3447-86ae-9eed0ab37c8b,b194dda6-a0c3-3447-86ae-9eed0ab37c8b,-54.59554,-10.07502,2022-05-20T17:47:00,AQUA_M-T,MATUPÁ,MATO GROSSO,Brasil,5105606,51,33,,,,Amazônia,POINT (-10.07502 -54.59554)
focos_brasil_ontem_hoje_ref.f5c8d934-0170-3591-b081-3821175f880f,f5c8d934-0170-3591-b081-3821175f880f,-56.30624,-10.32208,2022-05-20T17:47:00,AQUA_M-T,ALTA FLORESTA,MATO GROSSO,Brasil,5100250,51,33,,,,Amazônia,POINT (-10.32208 -56.30624)
focos_brasil_ontem_hoje_ref.d7023d21-8379-3a5c-9762-97bab1cd9d7f,d7023d21-8379-3a5c-9762-97bab1cd9d7f,-64.5142,-9.48809,2022-05-20T17:47:00,AQUA_M-T,PORTO VELHO,RONDÔNIA,Brasil,1100205,11,33,,,,Amazônia,POINT (-9.48809 -64.5142)
focos_brasil_ontem_hoje_ref.e03550c8-b57d-3238-b196-023f3386b7bf,e03550c8-b57d-3238-b196-023f3386b7bf,-61.31585,-8.56554,2022-05-20T17:47:00,AQUA_M-T,NOVO ARIPUANÃ,AMAZONAS,Brasil,1303304,13,33,,,,Amazônia,POINT (-8.56554 -61.31585)
focos_brasil_ontem_hoje_ref.54a1db6f-0f37-30bd-af2c-7fa43adcd5d8,54a1db6f-0f37-30bd-af2c-7fa43adcd5d8,-57.41184,-9.49161,2022-05-20T17:47:00,AQUA_M-T,APIACÁS,MATO GROSSO,Brasil,5100805,51,33,,,,Amazônia,POINT (-9.49161 -57.41184)
